"","online_order","reservations","ratings","votes","two_meal_cost","city","phone_count","favorite_count","menu_listed","grouped_cuisine_Asian","grouped_cuisine_Drinks","grouped_cuisine_European","grouped_cuisine_Western","grouped_cuisine_Vegetarian","grouped_cuisine_Other","grouped_cuisine_Eastern_Indian","grouped_cuisine_Middle_East","grouped_cuisine_North_Indian","grouped_cuisine_Souhtern_Indian","grouped_cuisine_Western_Indian","restaurant_type_Cafe_Tea","restaurant_type_Dessert_Parlor","restaurant_type_Fine_Dining","restaurant_type_Quick_Bites","restaurant_type_Bar","restaurant_type_Delivery","food_list_type_Unkown","food_list_type_Sheet_Shop","food_list_type_Takeaway","food_list_type_Bars"
"114",0,0,3.3,10,300,"Basavanagudi",0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"115",1,0,3.2,123,600,"Kalyan Nagar",2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"116",1,0,3.2,123,600,"Kalyan Nagar",2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"117",1,0,3.2,123,600,"Kammanahalli",2,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
"118",0,0,2.9,25,450,"Whitefield",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"119",0,0,3.2,10,300,"JP Nagar",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"120",0,0,3.4,8,300,"Bannerghatta Road",2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"121",1,0,3.4,6,200,"BTM",2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"122",1,0,3.4,6,200,"Jayanagar",2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"123",1,0,3.4,6,200,"Koramangala 4th Block",2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"124",1,0,3.4,9,250,"Frazer Town",2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
